Index,Year,Publication Date,Title,Paper Link,Target,Design Task,Model,Input,Output,Hit Rate,Outcome,Most Potent Design,Notes
1,2018,January 10,De Novo Design of Bioactive Small Molecules by Artificial Intelligence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5838524/,RXR,De novo design,LSTM RNN,SMILES,SMILES,4/5 (80%),nM agonist,EC50 RXRγ = 60 ± 20 nM (N = 4 assay replicates),
2,2018,October 22,Tuning artificial intelligence on the de novo design of natural-product-inspired retinoid X receptor modulators,https://www.nature.com/articles/s42004-018-0068-1,RXR,De novo design,LSTM RNN,SMILES,SMILES,2/4 (50%),µM agonist,EC50 RXRβ = 15.7 ± 0.8 µM (59 ± 5 SEM) (N = at least 2 assay replicates),
3,2021,August 24,A Novel Scalarized Scaffold Hopping Algorithm with Graph-Based Variational Autoencoder for Discovery of JAK1 Inhibitors,https://pubs.acs.org/doi/10.1021/acsomega.1c03613,JAK1,Scaffold hopping,GraphGMVAE,Graph,SMILES,7/7 (100%),nM inhibitor,IC50 = 5.0 nM,The reference compound for scaffold hopping has an IC50 of 45 nM
4,2021,June 11,Combining generative artificial intelligence and on-chip synthesis for de novo drug design,https://www.science.org/doi/10.1126/sciadv.abg3338,LXR,De novo design,LSTM RNN,SMILES,SMILES,17/25 (68%),µM agonist,EC50 LXRα = 0.21 ± 0.02 µM (N = 3 assay replicates),"Used ""microfluidics platform for on-chip chemical synthesis"""
5,2021,June 24,Beam Search for Automated Design and Scoring of Novel ROR Ligands with Machine Intelligence,https://onlinelibrary.wiley.com/doi/full/10.1002/anie.202104405,RORγ,De novo design,LSTM RNN,SMILES,SMILES,3/3 (100%),µM agonist,IC50 LXRα = 0.37 ± 0.05 µM (N = at least 4 assay replicates),
6,2022,January 13,"Discovery of Pyrazolo[3, 4-d]pyridazinone Derivatives as Selective DDR1 Inhibitors via Deep Learning Based Design",https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01205,DDR1,De novo scaffold-based decoration,BiRNN encoder–decoder,SMILES,SMILES,2/2 (100%),nM (borderline µM) inhibitor,IC50 = 10.2 ± 1.2 nM,The generated set was virtually screened and 2 compounds with the highest docking scores were synthesized. The authors further performed SAR studies.
7,2022,March 30,Effective Reaction-Based De Novo Strategy for Kinase Targets: A Case Study on MERTK Inhibitors,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00068,MERTK,Reaction based de novo design,GRU RNN,SMILES,SMILES,15/17 (100%),µM inhibitor,IC50 = 53.4 nM,RNN model generates building blocks compatible with selected reactions.
8,2022,August 15,Recurrent neural network (RNN) model accelerates the development of antibacterial metronidazole derivatives,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra01807a,Bacteria,De novo design,GRU RNN,SMILES,SMILES,0/1 (0%),µM inhibitor,IC50 S. aureus = 28.21 µM,"1 generated compound and 11 of its derivatives were synthesized. Within the 11 derivatives, 2 had IC50 < 10 μM. There were additional actives with a concrete potency measured > 10 μM."
9,2022,October 18,Target-Focused Library Design by Pocket-Applied Computer Vision and Fragment Deep Generative Linking,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00931,CDK8,Fragment linking,GGNN GNN,Graph,Graph,9/43 (21%),nM inhibitor,IC50 = 6.4 nM (N = 3 assay replicates),"2 rounds of generation. First round = 37 synthesized, second round = 6 synthesized. Second round takes the optimal inhibitor found from the first round and generates more linkers."
10,2022,Novermber 25,AI-assisted de novo design approach to design a selective inhibitor for FLT-3(D835Y) in acute myeloid leukemia,https://www.frontiersin.org/articles/10.3389/fmolb.2022.1072028/full,FLT-3,De novo design,LSTM RNN,SMILES,SMILES,1/1 (100%),µM inhibitor,IC50 = 764 nM,
