Index,Year,Publication Date,Title,Paper Link,Target,Design Task,Model,Input,Output,Optimization Algorithm Class,Hit Rate,Outcome,Most Potent Design,Notes
1,2018,March 23,Adversarial Threshold Neural Computer for Molecular de Novo Design,https://pubs.acs.org/doi/10.1021/acs.molpharmaceut.7b01137,Kinases,De novo design,Differentiable Neural Computer (DNC),SMILES,SMILES,Reinforcement Learning,0,µM agonist,N/A,"An in-house library was screened to identify high-Tanimoto-similarity molecules to the generated set. Therefore, none of the generated molecules were directly experimentally validated."
2,2018,September 4,Entangled Conditional Adversarial Autoencoder for de Novo Drug Discovery,https://pubs.acs.org/doi/10.1021/acs.molpharmaceut.8b00839,JAK3,De novo design,Adversarial Autoencoder (AAE),SMILES,SMILES,Conditional generation (conditioned on binding affinity/activity against JAK3),1/1,µM inhibitor,IC50 = 6.73 µM,
3,2019,September 2,Deep learning enables rapid identification of potent DDR1 kinase inhibitors,https://www.nature.com/articles/s41587-019-0224-x,DDR1,De novo design,VAE,SMILES,SMILES,Reinforcement learning,4/6,nM inhibitor with in vivo validation,IC50 = 10 nM,"Generated, synthesized, and performed in vitro and in vivo validation within 46 days."
4,2020,December 1,Design and Synthesis of DDR1 Inhibitors with a Desired Pharmacophore Using Deep Generative Models,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cmdc.202000786,DDR1,De novo ligand-based design,LSTM RNN,SMILES,SMILES,Reinforcement learning,4/6,µM inhibitor,IC50 = 92.5 nM,Pharmacophore matching approach.
5,2022,October 18,Generative and reinforcement learning approaches for the automated de novo design of bioactive compounds,https://www.nature.com/articles/s42004-022-00733-0,EGFR,De novo design,Stack-GRU RNN,SMILES,SMILES,Reinforcement learning,4/15,µM inhibitor,IC50 = 210 nM,
6,2022,November 12,Generative deep learning enables the discovery of a potent and selective RIPK1 inhibitor,https://www.nature.com/articles/s41467-022-34692-w,RIPK1,De novo design,LSTM RNN,SMILES,SMILES,Conditional generation,4/8,µM inhibitor with in vivo validation,IC50 = 35.0 nM,The pre-trained model was fine-tuned via transfer learning and the generate set was virtually screened. This is an example of how generative design and virtual screening can be complementary.
7,2023,January 10,AlphaFold accelerates artificial intelligence powered drug discovery: efficient discovery of a novel CDK20 small molecule inhibitor,https://pubs.rsc.org/en/content/articlelanding/2023/sc/d2sc05709c,CDK20,De novo structure-based design,Chemistry42,Mixed,Mixed,Reinforcement learning,6/13,µM inhibitor,IC50 CDK20/CycT1 = 33.4 ± 22.6 nM,First experimental validated example that used an AlphaFold structure for structure-based design. 2 rounds of generation. There were also additional actives with a concrete measured potency > 10 µM.
8,2023,April 7,"Discovery of Potent, Selective, and Orally Bioavailable Small-Molecule Inhibitors of CDK8 for the Treatment of Cancer",https://pubs.acs.org/doi/full/10.1021/acs.jmedchem.2c01718,CDK8,De novo structure-based design,Chemistry42,Mixed,Mixed,Reinforcement learning,1/1,nM inhibitor with in vivo validation,IC50 = 0.4 ± 0.1 nM,The molecule was further optimized by manual domain-expert SAR ultimately resulting in in vivo validation.
9,2023,August 9,De Novo Design of κ-Opioid Receptor Antagonists Using a Generative Deep-Learning Framework,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00651,KOR,De novo structure-based design,VAE,SMILES,SMILES,Reinforcement learning,2/5,µM antagonist,Ki = 6.46 µM,
10,2023,August 15,Discovery of novel and selective SIK2 inhibitors by the application of AlphaFold structures and generative models,https://www.sciencedirect.com/science/article/pii/S0968089623002626,SIK2,De novo structure-based design (core scaffold was fixed),Chemistry42,Mixed,Mixed,Reinforcement learning,6/6,µM inhibitor,IC50 = 0.023 µM,Used an AlphaFold structure for structure-based design.
11,2024,January 8,Discovery of Novel and Potent Prolyl Hydroxylase Domain-Containing Protein (PHD) Inhibitors for The Treatment of Anemia,https://pubs.acs.org/doi/full/10.1021/acs.jmedchem.3c01932,PHD enzymes,De novo structure-based design,Chemistry42,Mixed,Mixed,Reinforcement learning,1/1,nM inhibitor with in vivo validation,IC50 PHD2 = 4 nM,"Further SAR studies were performed by domain-experts, ultimately leading to in vivo validation"
12,2024,January 23,Local Scaffold Diversity-Contributed Generator for Discovering Potential NLRP3 Inhibitors,https://pubs.acs.org/doi/full/10.1021/acs.jcim.3c01818,NLRP3,De novo design with an activity model,GRU RNN-transformer,SMILES,SMILES,Reinforcement learning,0,N/A - no generated molecules were *directly* synthesized and tested,N/A,"12 generated molecules were selected for docking and analysis of the binding poses short-listed two scaffolds. Derivatives were designed based on these two scaffolds, resulting in a nM inhibitor"
13,2024,January 25,Discovery of new antiviral agents through artificial intelligence: In vitro and in vivo results,https://www.sciencedirect.com/science/article/pii/S0166354224000263?via%3Dihub#bib11,Neuraminidase (NA) of influenza A and B viruses,De novo structure-based design,"GNN, specifically Attentive FP",Graph,Graph,Reinforcement learning (Q-learning),2/9 (22%),µM inhibitor,"EC50 0.4 μM against A/St. Petersburg/63/2020, 0.29 μM against A/Vladivostok/2/2009, and 0.74 μM against B/Samara/32/2018 strains",in vivo validation was demonstrated
14,2024,February 1,Target-aware Molecule Generation for Drug Design Using a Chemical Language Model,https://www.biorxiv.org/content/10.1101/2024.01.08.574635v3,Tuberculosis ClpP,De novo design,Transformer-VAE,Geometry and SMILES,SMILES,Conditional generation,0/1 (0%),µM inhibitor,IC50 = 39.8 μM,Commercially available analogues were tested and were µM potent (IC50). Only 1 generated molecule was directly synthesized
15,2024,February 13,Quantum Computing-Enhanced Algorithm Unveils Novel Inhibitors for KRAS,https://arxiv.org/abs/2402.08210,KRAS,De novo structure-based design,Quantum Computer-LSTM RNN,SMILES,SMILES,Classical optimizer,1/12 (8%),µM inhibitor,IC50 = 1.4 μM,First example of a quantum computer application with experimental validation. There were also additional actives with a concrete measured potency > 10 µM
16,2024,March 5,Generate What You Can Make: Achieving in-house synthesizability with readily available resources in de novo drug design,https://chemrxiv.org/engage/chemrxiv/article-details/65e51a8466c138172921935f,MGLL,De novo design with an activity model,Graph transformer,Graph,Graph,Reinforcement learning,1/3 (33%),µM inhibitor,IC50 = 1 μM,Generation using in-house collection of building blocks
17,2024,March 8,A small-molecule TNIK inhibitor targets fibrosis in preclinical and clinical models,https://www.nature.com/articles/s41587-024-02143-0,TNIK,De novo structure-based design,Chemistry42,Mixed,Mixed,Reinforcement learning,Unknown,nM inhibitor with in vivo validation,IC50 = 4.8 nM,Initial generation led to a nM potent compound but with poor ADMET properties resulting in high clearance in human and mice liver microsomes. Lead optimization led to improved ADMET properties and ultimately in vivo validation. Phase 1 clinical trial results were reported and this molecule is the first generative design to progress to phase 2 clinical trials
18,2024,March 11,Accelerating factor Xa inhibitor discovery with a de novo drug design pipeline,https://www.sciencedirect.com/science/article/pii/S0968089624000762?via%3Dihub,Factor Xa,Scaffold-based,Attention-convolution layers,Substructure vector,SMILES,Mixed-Integer NonLinear Programming,Unknown,µM inhibitor,IC50 = 34.57 μM,8 commercially available generated molecules were purchased. Only the most potent affinity was reported
19,2024,March 11,PocketFlow is a data-and-knowledge-driven structure-based molecular generative model,https://www.nature.com/articles/s42256-024-00808-8,HAT1 and YTHDC1,De novo design,Flow,Geometry,Geometry,Conditional generation (conditioned on protein pocket),0/2 (0%) and 0/3 (0%),µM inhibitors,For HAT1: IC50 = 72.36 ± 8.03 μM and for YTHDC1: IC50 = 32.60 ± 2.72 μM (*N* = 3 assay replicates),There were also additional actives with a concrete measured potency > 10 µM
20,2024,March 15,Deep Geometry Handling and Fragment-wise Molecular 3D Graph Generation,https://arxiv.org/abs/2404.00014,LTK,De novo design - fragment-based assembly,GAT GNN,Geometry,Geometry,Conditional generation (conditioned on protein pocket),3/3 (100%),µM inhibitor,IC50 = 75.4 nM,
21,2024,March 22,Generative AI for designing and validating easily synthesizable and structurally novel antibiotics,https://www.nature.com/articles/s42256-024-00809-7,Bacteria,De novo design with an activity model,Monte Carlo Tree Search (MCTS),Variable,Variable,Monte Carlo Tree Search (MCTS),6/58 (10%),µM inhibitor with in vivo validation. 6 were bioactive against A. baumannii ATCC 19606R,MIC ≤ 8 µg ml−1,Enforced chemical reactions as permitted transformations during generation.
22,2024,March 22,"Abstract 5727: ISM9682A, a novel and potent KIF18A inhibitor, shows robust antitumor effects against chromosomally unstable cancers",https://aacrjournals.org/cancerres/article/84/6_Supplement/5727/741278/Abstract-5727-ISM9682A-a-novel-and-potent-KIF18A,KIF18A,De novo structure-based design,Chemistry42,Mixed,Mixed,Reinforcement learning,Unknown,in vivo validation,,110 molecules were synthesized and tested - [Source](https://www.genengnews.com/topics/artificial-intelligence/insilico-joins-scramble-to-treat-solid-tumors-by-targeting-kif18a/).
23,2024,March 26,A dual diffusion model enables 3D molecule generation and lead optimization based on target pockets,https://www.nature.com/articles/s41467-024-46569-1,CDK2,Lead optimization,Diffusion,Geometry,Geometry,Conditional generation (conditioned on protein pocket),7/7,nM inhibitor,IC50 CDK2/E1 = 0.090 nM,Original reference compound has an IC50 CDK2/E1 = 8.1 nM. 2 rounds of generation: 4 molecules synthesized from round 1 resulting in the most potent design IC50 CDK2/E1 = 0.253 nM. The second round of focused on intra-linking the molecules resulting in macrocycles. 3 were synthesized and the final most potent design IC50 CDK2/E1 = 0.090 nM.
